"Ano";"Mês";"Poder";"Código órgão";"Órgão setorial";"Código da unidade";"Unidade gestora";"Código da despesa";"Categoria da despesa";"Código do grupo de despesa";"Grupo de despesa";"Código da modalidade";"Modalidade";"Dotação atualizada";"Dotação inicial";"Empenhado";"Liquidado";"Pago"
"2024";"1";"EXECUTIVO                                         ";"62";"SECRETARIA DE CULTURA - ADMINISTRAÇÃO SUPERVISIONADA                                                ";"62.01";"FUNDAÇÃO DE CULTURA CIDADE DO RECIFE - FCCR                                                         ";"3";"DESPESAS CORRENTES                                                                                  ";"1";"PESSOAL E ENCARGOS SOCIAIS                                                                          ";"90  ";"APLICAÇÕES DIRETAS                                                                                                                                      ";"16490000.0";"16490000.0";"943067.71";"140729.35";"0.0"
"2024";"9";"EXECUTIVO                                         ";"04";"GABINETE DE INOVAÇÃO URBANA                                                                         ";"04.01";"GABINETE DE INOVAÇÃO URBANA - ADMINISTRAÇÃO DIRETA                                                  ";"3";"DESPESAS CORRENTES                                                                                  ";"1";"PESSOAL E ENCARGOS SOCIAIS                                                                          ";"90  ";"APLICAÇÕES DIRETAS                                                                                                                                      ";"";"";"165983.58";"165983.58";"150273.02"
"2024";"7";"EXECUTIVO                                         ";"37";"SECRETARIA DE HABITAÇÃO                                                                             ";"37.01";"SECRETARIA DE HABITAÇÃO - ADMINISTRAÇÃO DIRETA                                                      ";"4";"DESPESAS DE CAPITAL                                                                                 ";"4";"INVESTIMENTOS                                                                                       ";"90  ";"APLICAÇÕES DIRETAS                                                                                                                                      ";"-4068617.22";"0.0";"0.0";"0.0";"25097.82"
"2024";"8";"EXECUTIVO                                         ";"61";"SECRETARIA DE PLANEJAMENTO, GESTÃO E TRANSFORMAÇÃO DIGITAL - ADMINISTRAÇÃO SUPERVISIONADA           ";"61.04";"EMPRESA MUNICIPAL DE INFORMÁTICA - EMPREL                                                           ";"4";"DESPESAS DE CAPITAL                                                                                 ";"6";"AMORTIZAÇÃO DA DÍVIDA                                                                               ";"90  ";"APLICAÇÕES DIRETAS                                                                                                                                      ";"";"";"0.0";"67353.58";"67353.58"
"2024";"3";"EXECUTIVO                                         ";"59";"SECRETARIA DE DESENV. SOCIAL, DIREITOS HUMANOS, JUVENTUDE E POLÍTICAS SOBRE DROGAS - ADM. SUPERVISIO";"59.03";"FUNDO MUNICIPAL DA CRIANÇA E DO ADOLESCENTE - FMCA                                                  ";"3";"DESPESAS CORRENTES                                                                                  ";"3";"OUTRAS DESPESAS CORRENTES                                                                           ";"90  ";"APLICAÇÕES DIRETAS                                                                                                                                      ";"202400.0";"0.0";"93344.0";"117182.8";"116409.14"
"2024";"10";"EXECUTIVO                                         ";"25";"SECRETARIA DE GOVERNO E PARTICIPAÇÃO SOCIAL                                                         ";"25.01";"SECRETARIA DE GOVERNO E PARTICIPAÇÃO SOCIAL - ADMINISTRAÇÃO DIRETA                                  ";"4";"DESPESAS DE CAPITAL                                                                                 ";"4";"INVESTIMENTOS                                                                                       ";"90  ";"APLICAÇÕES DIRETAS                                                                                                                                      ";"";"";"0.0";"0.0";"114.0"
"2024";"10";"EXECUTIVO                                         ";"61";"SECRETARIA DE PLANEJAMENTO, GESTÃO E TRANSFORMAÇÃO DIGITAL - ADMINISTRAÇÃO SUPERVISIONADA           ";"61.04";"EMPRESA MUNICIPAL DE INFORMÁTICA - EMPREL                                                           ";"4";"DESPESAS DE CAPITAL                                                                                 ";"4";"INVESTIMENTOS                                                                                       ";"90  ";"APLICAÇÕES DIRETAS                                                                                                                                      ";"30057.23";"0.0";"36700.0";"0.0";"0.0"
"2024";"11";"EXECUTIVO                                         ";"48";"SECRETARIA DE SAÚDE - ADMINISTRAÇÃO SUPERVISIONADA                                                  ";"48.01";"FUNDO MUNICIPAL DE SAÚDE - FMS                                                                      ";"4";"DESPESAS DE CAPITAL                                                                                 ";"4";"INVESTIMENTOS                                                                                       ";"90  ";"APLICAÇÕES DIRETAS                                                                                                                                      ";"-972012.19";"0.0";"1367663.7";"1638758.37";"1601806.34"
"2024";"3";"EXECUTIVO                                         ";"39";"SECRETARIA DE MEIO AMBIENTE E SUSTENTABILIDADE                                                      ";"39.01";"SECRETARIA DE MEIO AMBIENTE E SUSTENTABILIDADE - ADMINISTRAÇÃO DIRETA                               ";"3";"DESPESAS CORRENTES                                                                                  ";"1";"PESSOAL E ENCARGOS SOCIAIS                                                                          ";"90  ";"APLICAÇÕES DIRETAS                                                                                                                                      ";"";"";"1199667.37";"1199667.37";"1393774.69"
"2024";"6";"EXECUTIVO                                         ";"32";"SECRETARIA DE CULTURA                                                                               ";"32.01";"SECRETARIA DE CULTURA - ADMINISTRAÇÃO DIRETA                                                        ";"4";"DESPESAS DE CAPITAL                                                                                 ";"4";"INVESTIMENTOS                                                                                       ";"90  ";"APLICAÇÕES DIRETAS                                                                                                                                      ";"35138.39";"0.0";"";"";""
